target,grid_id,grid_x,grid_y,grid_z
aa2ar,1,-30.582,-20.763,57.829
aa2ar,2,-2.959,26.322,-18.379
aa2ar,3,11.114,-12.758,20.851
aa2ar,4,10.546,-6.398,66.192
aa2ar,5,17.148,27.751,15.041
aa2ar,6,-23.336,-29.820,19.651
aa2ar,7,-16.712,13.707,21.897
aa2ar,8,-6.143,-0.595,-3.869
aa2ar,9,-13.940,7.471,55.451
aa2ar,10,-0.942,-26.260,44.054
aa2ar,11,18.335,9.476,-5.623
aa2ar,12,-16.187,-8.504,35.574
aa2ar,13,-22.802,12.836,-14.752
aa2ar,14,1.642,7.200,34.240
aa2ar,15,-11.436,24.833,2.498
aa2ar,16,-11.220,-11.972,14.390
aa2ar,17,-8.728,-13.298,62.950
aa2ar,18,9.827,6.743,13.976
aa2ar,19,9.613,-8.614,45.147
aa2ar,20,6.738,30.041,-2.780
aa2ar,21,-2.298,-26.257,21.822
aa2ar,22,28.907,15.640,9.029
aa2ar,23,-1.399,-16.062,78.640
aa2ar,24,0.688,21.554,13.697
aa2ar,25,-16.872,-22.686,47.803
aa2ar,26,-18.004,9.459,5.886
