target,grid_id,grid_x,grid_y,grid_z
abl1,1,37.433,20.702,-4.362
abl1,2,25.703,74.765,7.600
abl1,3,9.906,19.750,44.125
abl1,4,1.344,-5.090,8.055
abl1,5,63.382,55.037,14.455
abl1,6,3.330,44.387,15.147
abl1,7,37.831,37.404,28.669
abl1,8,29.892,1.094,27.311
abl1,9,41.903,50.895,-6.914
abl1,10,11.368,15.171,-8.482
abl1,11,12.528,17.238,16.695
abl1,12,10.433,56.998,-5.272
abl1,13,6.919,-3.959,32.533
abl1,14,24.802,57.139,24.185
abl1,15,24.492,38.081,4.965
abl1,16,52.508,31.224,11.494
abl1,17,26.263,1.773,7.116
abl1,18,44.955,59.078,21.470
abl1,19,16.644,-13.986,17.389
abl1,20,38.691,17.672,21.099
abl1,21,43.932,69.646,5.561
abl1,22,30.364,56.396,6.520
abl1,23,18.745,32.765,24.191
abl1,24,11.103,60.870,13.323
abl1,25,28.057,10.342,-15.219
abl1,26,0.216,15.644,29.004
