target,grid_id,grid_x,grid_y,grid_z
ace,1,48.208,10.052,66.780
ace,2,62.079,67.698,14.361
ace,3,17.897,44.235,37.389
ace,4,57.264,59.099,65.675
ace,5,53.672,25.656,28.539
ace,6,76.376,47.215,41.960
ace,7,31.639,61.567,14.829
ace,8,62.196,79.403,44.636
ace,9,29.326,50.044,63.565
ace,10,46.707,53.203,39.466
ace,11,23.993,71.527,39.638
ace,12,34.831,24.462,48.095
ace,13,67.898,34.147,63.348
ace,14,46.539,43.327,8.973
ace,15,68.440,46.343,20.345
ace,16,47.380,35.383,69.182
ace,17,39.610,66.479,54.362
ace,18,34.148,32.353,27.752
ace,19,51.755,35.044,47.098
ace,20,50.569,72.443,29.314
ace,21,64.826,64.069,36.206
ace,22,31.347,30.538,64.590
ace,23,61.694,48.538,51.337
ace,24,26.041,44.998,19.780
ace,25,49.902,18.107,51.600
ace,26,64.054,37.428,34.261
