target,grid_id,grid_x,grid_y,grid_z
aces,1,-12.942,88.111,34.537
aces,2,32.720,55.933,81.355
aces,3,-20.520,37.205,63.013
aces,4,17.410,51.323,39.185
aces,5,-1.042,80.156,74.759
aces,6,27.195,88.089,42.625
aces,7,-11.271,59.957,43.677
aces,8,7.508,52.421,66.183
aces,9,-22.647,62.498,70.887
aces,10,23.987,72.867,61.345
aces,11,3.948,96.111,50.045
aces,12,6.992,75.951,38.274
aces,13,25.812,39.454,59.432
aces,14,20.346,73.411,82.778
aces,15,-19.271,82.591,53.897
aces,16,33.568,63.134,44.652
aces,17,-4.941,41.696,51.577
aces,18,-25.144,74.159,37.860
aces,19,1.655,72.212,58.075
aces,20,15.982,56.222,89.217
aces,21,-25.166,54.263,54.679
aces,22,15.489,41.594,78.498
aces,23,-4.831,63.457,72.049
aces,24,31.742,55.504,62.207
aces,25,18.290,91.334,58.482
aces,26,-7.585,46.420,72.015
