target,grid_id,grid_x,grid_y,grid_z
ada,1,52.065,51.694,19.923
ada,2,78.836,34.531,39.768
ada,3,73.558,67.722,4.866
ada,4,72.891,33.000,7.352
ada,5,45.392,70.293,42.775
ada,6,72.954,62.290,36.318
ada,7,54.354,79.901,20.653
ada,8,54.901,30.381,34.902
ada,9,35.183,49.955,37.010
ada,10,45.410,29.061,14.393
ada,11,47.981,53.643,-1.259
ada,12,80.993,49.827,21.160
ada,13,56.300,50.894,42.694
ada,14,37.950,67.452,20.690
ada,15,66.592,48.189,2.207
ada,16,64.575,36.241,22.527
ada,17,63.349,63.801,21.696
ada,18,37.472,37.862,26.040
ada,19,50.205,67.218,11.116
ada,20,54.317,39.513,5.765
ada,21,70.320,47.362,37.218
ada,22,59.419,67.314,38.770
ada,23,38.531,53.017,14.993
ada,24,51.010,58.356,31.951
ada,25,58.768,64.180,1.680
ada,26,69.823,28.579,32.369
