target,grid_id,grid_x,grid_y,grid_z
ada17,1,52.832,43.285,30.648
ada17,2,9.248,23.210,0.603
ada17,3,51.631,21.150,-3.669
ada17,4,25.675,17.574,36.185
ada17,5,34.170,3.164,12.191
ada17,6,29.852,43.534,12.793
ada17,7,57.101,44.281,4.441
ada17,8,43.198,24.911,18.301
ada17,9,30.255,26.358,-9.022
ada17,10,10.293,37.303,19.054
ada17,11,63.595,25.202,10.964
ada17,12,25.054,21.105,18.297
ada17,13,43.280,29.392,36.996
ada17,14,30.021,11.487,-1.206
ada17,15,43.690,35.609,2.584
ada17,16,43.839,14.783,31.383
ada17,17,45.494,13.214,8.202
ada17,18,64.776,30.514,-3.278
ada17,19,57.672,29.536,24.232
ada17,20,43.802,45.163,18.164
ada17,21,23.503,27.118,3.449
ada17,22,26.765,37.049,23.429
ada17,23,20.592,12.691,10.175
ada17,24,34.278,25.711,26.939
ada17,25,50.871,23.896,8.317
ada17,26,35.614,16.586,14.360
