target,grid_id,grid_x,grid_y,grid_z
adrb2,1,17.954,27.602,57.901
adrb2,2,25.870,-16.596,-11.467
adrb2,3,-15.433,3.608,21.606
adrb2,4,-2.228,-8.462,58.676
adrb2,5,-1.212,14.486,-14.918
adrb2,6,20.701,-4.148,23.530
adrb2,7,8.022,29.165,20.062
adrb2,8,-10.584,20.374,59.138
adrb2,9,35.731,8.347,0.293
adrb2,10,6.220,-4.961,1.083
adrb2,11,0.447,6.935,39.728
adrb2,12,39.456,-15.377,8.582
adrb2,13,21.401,4.953,59.073
adrb2,14,20.742,16.739,-15.480
adrb2,15,-1.901,6.947,73.864
adrb2,16,13.332,15.599,3.984
adrb2,17,4.238,26.779,41.698
adrb2,18,-2.755,-10.656,26.146
adrb2,19,-14.929,1.014,46.999
adrb2,20,-7.697,18.577,16.509
adrb2,21,23.378,-0.322,-7.575
adrb2,22,7.112,-8.425,41.339
adrb2,23,18.473,-17.863,3.313
adrb2,24,16.916,4.134,38.538
adrb2,25,4.607,8.814,55.119
adrb2,26,5.461,8.114,15.671
