target,grid_id,grid_x,grid_y,grid_z
akt1,1,-2.578,-6.839,-3.763
akt1,2,6.908,10.828,56.274
akt1,3,9.091,-24.523,34.826
akt1,4,-21.780,2.322,29.729
akt1,5,15.948,14.109,20.497
akt1,6,22.786,-13.952,8.881
akt1,7,24.778,-5.921,46.580
akt1,8,-2.718,-10.807,50.404
akt1,9,-0.380,-4.795,22.283
akt1,10,-3.742,13.756,8.510
akt1,11,-7.371,16.742,37.904
akt1,12,-12.461,-20.145,28.784
akt1,13,16.777,6.678,2.335
akt1,14,4.428,-21.056,6.671
akt1,15,-15.354,-3.745,9.864
akt1,16,11.415,16.288,38.532
akt1,17,17.565,-3.792,25.359
akt1,18,7.025,-1.105,38.383
akt1,19,-15.967,-2.753,44.475
akt1,20,-9.247,10.333,23.104
akt1,21,-1.522,23.050,20.226
akt1,22,11.270,-12.603,-3.616
akt1,23,11.156,-14.444,45.425
akt1,24,10.316,-6.944,11.943
akt1,25,24.982,3.548,35.513
akt1,26,4.801,5.002,-4.314
