target,grid_id,grid_x,grid_y,grid_z
aldr,1,13.359,9.820,39.193
aldr,2,14.254,-19.662,-6.263
aldr,3,0.264,14.522,4.878
aldr,4,36.461,-13.557,19.435
aldr,5,-3.837,-13.396,24.879
aldr,6,28.414,11.948,8.181
aldr,7,39.002,16.017,33.384
aldr,8,23.887,-13.562,40.991
aldr,9,-3.492,-6.243,47.960
aldr,10,15.329,-11.609,16.703
aldr,11,-0.763,7.142,25.527
aldr,12,0.173,-4.741,5.089
aldr,13,34.423,3.852,46.997
aldr,14,29.449,-0.608,30.190
aldr,15,19.454,20.333,20.704
aldr,16,18.383,-3.591,-0.884
aldr,17,7.310,-16.815,40.142
aldr,18,0.636,-21.000,9.206
aldr,19,-9.780,3.340,13.678
aldr,20,10.021,8.008,15.759
aldr,21,5.279,-2.745,37.404
aldr,22,26.152,14.412,42.629
aldr,23,17.645,-17.853,28.294
aldr,24,29.269,12.194,25.546
aldr,25,35.382,1.979,19.353
aldr,26,3.968,18.374,19.340
