target,grid_id,grid_x,grid_y,grid_z
ampc,1,23.777,-22.057,35.031
ampc,2,100.221,-1.466,20.986
ampc,3,48.778,26.594,-0.220
ampc,4,61.451,16.783,50.097
ampc,5,59.872,-12.584,13.093
ampc,6,17.407,2.855,4.652
ampc,7,79.313,-16.881,45.079
ampc,8,29.979,9.711,40.641
ampc,9,73.868,16.279,16.309
ampc,10,4.663,-1.057,31.266
ampc,11,54.598,-7.792,38.827
ampc,12,83.977,-22.173,6.855
ampc,13,32.605,-18.960,11.394
ampc,14,45.609,9.208,17.231
ampc,15,83.644,12.706,38.582
ampc,16,7.965,-17.203,12.412
ampc,17,33.876,11.258,-8.006
ampc,18,73.756,-4.052,26.675
ampc,19,76.297,-0.335,5.281
ampc,20,42.313,-5.687,-1.808
ampc,21,55.490,19.196,31.759
ampc,22,91.013,-18.581,29.716
ampc,23,28.593,17.646,23.250
ampc,24,41.552,-17.125,27.708
ampc,25,96.038,-0.786,39.069
ampc,26,63.767,-22.628,33.329
