target,grid_id,grid_x,grid_y,grid_z
andr,1,9.152,30.052,22.680
andr,2,42.725,-12.647,-0.662
andr,3,7.524,-10.412,18.472
andr,4,9.829,10.195,-10.273
andr,5,31.978,6.783,33.610
andr,6,30.691,16.398,7.771
andr,7,-11.282,12.605,18.087
andr,8,32.945,12.005,-15.686
andr,9,22.630,-8.798,-10.127
andr,10,10.444,9.286,32.068
andr,11,31.357,-8.631,16.674
andr,12,9.406,10.051,12.092
andr,13,43.967,2.341,9.362
andr,14,26.647,21.229,26.259
andr,15,20.310,1.069,3.184
andr,16,15.150,24.707,10.122
andr,17,22.295,8.792,20.016
andr,18,21.795,15.363,-3.727
andr,19,26.116,-6.257,30.033
andr,20,19.806,4.439,41.194
andr,21,-0.495,13.467,2.935
andr,22,-0.188,0.502,14.522
andr,23,7.170,-1.355,2.171
andr,24,22.183,4.376,-12.123
andr,25,0.191,21.991,17.033
andr,26,34.480,1.448,-7.737
