target,grid_id,grid_x,grid_y,grid_z
aofb,1,65.132,121.769,5.996
aofb,2,25.535,162.852,65.057
aofb,3,4.529,105.415,31.806
aofb,4,50.516,182.191,12.969
aofb,5,13.299,145.386,-8.378
aofb,6,68.134,149.612,38.993
aofb,7,-5.564,147.863,29.389
aofb,8,32.381,133.755,28.024
aofb,9,33.678,116.035,-11.038
aofb,10,64.664,154.246,4.542
aofb,11,47.150,175.303,43.123
aofb,12,58.799,120.689,36.601
aofb,13,3.675,120.196,3.771
aofb,14,35.245,155.298,8.189
aofb,15,32.039,105.923,28.709
aofb,16,50.821,135.635,-10.813
aofb,17,17.324,129.312,47.992
aofb,18,44.850,142.097,48.360
aofb,19,30.698,157.979,33.956
aofb,20,13.665,153.313,16.681
aofb,21,65.110,170.464,29.632
aofb,22,72.273,136.824,21.237
aofb,23,33.856,119.475,10.911
aofb,24,9.674,132.140,25.709
aofb,25,15.376,104.216,12.927
aofb,26,49.908,146.161,27.894
