target,grid_id,grid_x,grid_y,grid_z
bace1,1,23.434,12.052,19.421
bace1,2,15.279,44.258,92.198
bace1,3,-14.990,30.468,52.668
bace1,4,35.620,56.404,42.249
bace1,5,21.968,6.181,59.439
bace1,6,56.097,3.969,40.245
bace1,7,7.778,63.371,62.642
bace1,8,15.285,-21.519,23.671
bace1,9,-2.249,19.723,79.531
bace1,10,0.748,-1.619,2.490
bace1,11,34.446,37.711,68.486
bace1,12,10.832,39.642,39.797
bace1,13,37.989,26.516,40.006
bace1,14,52.981,20.324,19.270
bace1,15,40.578,-7.592,21.932
bace1,16,-4.885,43.799,70.480
bace1,17,8.290,15.462,38.833
bace1,18,24.586,-10.233,4.751
bace1,19,21.878,20.664,78.632
bace1,20,34.971,-8.691,44.413
bace1,21,8.090,23.249,60.740
bace1,22,21.683,57.178,76.747
bace1,23,27.802,66.692,58.387
bace1,24,40.481,9.498,7.197
bace1,25,14.794,-2.307,30.792
bace1,26,14.268,42.897,64.179
