target,grid_id,grid_x,grid_y,grid_z
braf,1,57.583,5.518,-11.304
braf,2,99.532,-7.553,23.250
braf,3,50.604,51.946,-15.679
braf,4,87.552,36.956,20.089
braf,5,87.981,31.841,-32.232
braf,6,43.068,27.478,11.446
braf,7,102.850,15.872,-1.247
braf,8,53.614,26.996,-36.956
braf,9,82.723,-12.294,-18.625
braf,10,72.343,3.665,15.262
braf,11,74.180,32.574,-5.500
braf,12,38.087,18.150,-19.908
braf,13,83.281,12.381,-16.347
braf,14,90.608,-4.589,2.855
braf,15,96.457,17.044,20.410
braf,16,64.021,44.920,-31.148
braf,17,63.556,24.067,15.193
braf,18,70.176,25.923,-24.574
braf,19,71.746,-10.214,-1.597
braf,20,48.169,31.675,-7.561
braf,21,53.831,8.798,7.806
braf,22,42.050,41.340,-31.280
braf,23,82.416,17.211,2.637
braf,24,109.586,-0.010,7.157
braf,25,85.688,3.788,27.421
braf,26,77.958,-14.127,14.176
