target,grid_id,grid_x,grid_y,grid_z
cah2,1,14.463,-1.667,9.168
cah2,2,-25.365,-6.703,41.113
cah2,3,-21.500,18.966,8.826
cah2,4,-17.782,-21.014,2.488
cah2,5,3.657,1.416,35.200
cah2,6,-0.139,-2.947,-10.623
cah2,7,-16.442,12.803,31.015
cah2,8,-3.119,-15.526,20.770
cah2,9,-29.966,-10.744,19.848
cah2,10,-24.142,-0.663,0.703
cah2,11,-0.054,16.563,18.304
cah2,12,-7.229,8.129,1.955
cah2,13,-1.323,-15.364,1.646
cah2,14,-9.207,-11.147,38.953
cah2,15,-17.527,0.251,19.739
cah2,16,-1.469,-0.717,14.422
cah2,17,11.453,5.278,22.896
cah2,18,-11.959,-9.685,-6.117
cah2,19,11.648,-13.479,16.214
cah2,20,-27.140,2.806,29.520
cah2,21,-29.095,8.193,12.780
cah2,22,-11.625,-9.125,8.193
cah2,23,-18.449,-17.087,17.647
cah2,24,9.348,-8.730,-3.267
cah2,25,-13.103,1.395,37.347
cah2,26,3.468,1.031,2.426
