target,grid_id,grid_x,grid_y,grid_z
casp3,1,12.232,-5.159,59.728
casp3,2,26.530,48.441,17.568
casp3,3,56.292,16.526,37.575
casp3,4,14.032,33.700,51.699
casp3,5,20.597,8.326,24.332
casp3,6,22.554,17.418,80.257
casp3,7,47.475,31.787,16.868
casp3,8,30.965,13.865,47.237
casp3,9,35.949,40.277,37.941
casp3,10,5.562,11.405,42.136
casp3,11,17.179,31.581,29.139
casp3,12,37.190,18.571,25.617
casp3,13,8.913,20.406,67.573
casp3,14,20.326,-0.005,41.467
casp3,15,50.223,32.846,33.400
casp3,16,27.270,27.631,40.227
casp3,17,36.926,4.782,32.373
casp3,18,21.243,22.706,58.519
casp3,19,30.784,34.951,19.981
casp3,20,20.707,43.591,36.017
casp3,21,25.605,4.329,56.201
casp3,22,42.199,24.356,40.943
casp3,23,23.421,15.292,35.546
casp3,24,8.584,22.860,35.789
casp3,25,8.815,20.900,53.942
casp3,26,8.538,36.327,40.175
