target,grid_id,grid_x,grid_y,grid_z
cdk2,1,-15.718,34.614,-2.620
cdk2,2,18.630,23.760,43.263
cdk2,3,22.038,30.066,5.264
cdk2,4,-18.192,32.209,34.403
cdk2,5,7.234,45.167,25.959
cdk2,6,-3.653,13.342,19.224
cdk2,7,-5.274,12.615,46.426
cdk2,8,17.526,15.230,23.722
cdk2,9,-14.491,44.684,17.600
cdk2,10,-1.654,33.350,47.930
cdk2,11,3.339,24.574,-0.351
cdk2,12,22.702,34.603,25.620
cdk2,13,2.117,22.670,33.841
cdk2,14,-7.502,29.185,12.987
cdk2,15,4.799,41.055,9.640
cdk2,16,9.736,29.814,18.550
cdk2,17,-24.762,28.052,7.243
cdk2,18,10.345,37.133,37.742
cdk2,19,-6.939,36.727,27.063
cdk2,20,-5.210,42.491,-5.136
cdk2,21,7.509,14.466,42.813
cdk2,22,19.397,48.232,30.147
cdk2,23,-10.418,20.317,37.091
cdk2,24,-3.629,30.153,-9.537
cdk2,25,22.846,18.478,12.724
cdk2,26,-20.958,33.980,18.802
