target,grid_id,grid_x,grid_y,grid_z
comt,1,-23.836,-11.151,-34.109
comt,2,6.340,4.668,9.599
comt,3,-1.404,-24.930,-8.697
comt,4,-10.126,15.569,-16.972
comt,5,-30.195,-14.124,-3.605
comt,6,10.520,-4.940,-16.934
comt,7,-19.294,4.797,2.644
comt,8,-20.394,-25.821,-16.123
comt,9,-7.541,-10.158,-20.015
comt,10,-11.608,-12.070,4.614
comt,11,-24.987,-3.486,-18.049
comt,12,6.837,10.682,-9.378
comt,13,-6.199,14.826,1.597
comt,14,4.019,-9.692,2.794
comt,15,-7.020,3.268,-8.485
comt,16,-14.532,2.680,-24.885
comt,17,-1.483,4.618,-21.119
comt,18,-29.348,-15.803,-20.916
comt,19,-13.093,-20.518,-5.178
comt,20,-8.349,-23.222,-19.129
comt,21,-19.185,-13.594,-13.575
comt,22,-21.917,-5.322,-4.436
comt,23,-3.682,-11.172,-6.425
comt,24,14.375,2.659,0.812
comt,25,-4.726,3.808,4.479
comt,26,6.623,-2.337,-5.871
