target,grid_id,grid_x,grid_y,grid_z
cp2c9,1,17.782,23.589,-34.971
cp2c9,2,-25.321,19.755,22.475
cp2c9,3,29.238,14.291,19.278
cp2c9,4,-12.082,46.576,-14.551
cp2c9,5,-3.332,3.094,-4.203
cp2c9,6,6.531,45.128,18.873
cp2c9,7,22.519,42.081,-9.204
cp2c9,8,2.922,15.636,18.617
cp2c9,9,-10.008,22.785,-25.045
cp2c9,10,-14.939,25.416,-0.330
cp2c9,11,20.236,16.975,-10.031
cp2c9,12,27.847,40.330,12.366
cp2c9,13,3.891,40.663,-28.846
cp2c9,14,38.716,20.459,1.169
cp2c9,15,5.067,35.463,-0.123
cp2c9,16,-19.167,38.122,15.108
cp2c9,17,6.588,53.517,-8.049
cp2c9,18,6.961,11.662,-23.828
cp2c9,19,-14.987,6.416,12.786
cp2c9,20,16.853,23.787,7.578
cp2c9,21,-16.930,12.591,-12.273
cp2c9,22,0.583,22.369,-10.703
cp2c9,23,-9.555,27.569,24.884
cp2c9,24,-29.664,30.574,4.644
cp2c9,25,11.315,30.700,-19.383
cp2c9,26,-10.106,12.475,27.645
