target,grid_id,grid_x,grid_y,grid_z
cp3a4,1,37.592,10.163,35.614
cp3a4,2,16.241,-51.770,-31.846
cp3a4,3,28.822,-54.312,40.626
cp3a4,4,55.357,-2.492,-23.406
cp3a4,5,4.740,-1.903,-5.320
cp3a4,6,58.980,-27.864,18.766
cp3a4,7,6.797,-18.434,35.153
cp3a4,8,25.369,-41.142,5.440
cp3a4,9,23.137,-16.169,-32.857
cp3a4,10,36.668,-6.647,3.709
cp3a4,11,47.672,-34.523,-19.572
cp3a4,12,35.712,-26.118,50.725
cp3a4,13,7.168,-30.927,-12.604
cp3a4,14,57.756,-7.527,36.580
cp3a4,15,27.521,6.946,-16.602
cp3a4,16,17.617,0.464,19.608
cp3a4,17,28.865,-26.031,27.086
cp3a4,18,7.676,-42.478,30.647
cp3a4,19,23.351,-5.712,46.644
cp3a4,20,35.566,-38.784,-39.566
cp3a4,21,47.653,-43.603,31.835
cp3a4,22,14.279,-21.215,10.540
cp3a4,23,31.904,-54.896,-10.555
cp3a4,24,49.196,-41.870,5.388
cp3a4,25,25.132,-18.821,-9.588
cp3a4,26,44.911,-16.795,-32.628
