target,grid_id,grid_x,grid_y,grid_z
csf1r,1,1.050,24.021,-12.588
csf1r,2,27.326,46.364,17.085
csf1r,3,13.517,10.143,26.234
csf1r,4,38.200,19.642,-13.290
csf1r,5,18.310,48.891,-16.203
csf1r,6,-3.332,32.835,14.250
csf1r,7,17.463,8.123,0.546
csf1r,8,9.662,56.899,3.614
csf1r,9,18.251,30.693,0.479
csf1r,10,21.253,28.998,-22.893
csf1r,11,-2.162,11.510,5.453
csf1r,12,33.906,48.679,-1.745
csf1r,13,15.221,30.688,18.864
csf1r,14,35.951,36.942,-17.070
csf1r,15,35.875,34.793,7.672
csf1r,16,2.411,39.764,-8.653
csf1r,17,-3.352,18.629,21.272
csf1r,18,18.099,19.284,-11.055
csf1r,19,9.430,40.814,-25.499
csf1r,20,32.874,8.679,-4.727
csf1r,21,5.630,44.396,11.464
csf1r,22,8.276,21.095,4.071
csf1r,23,0.452,8.845,-8.217
csf1r,24,32.790,30.076,-5.424
csf1r,25,26.607,17.951,3.497
csf1r,26,19.386,44.834,6.496
