target,grid_id,grid_x,grid_y,grid_z
cxcr4,1,7.282,-8.921,90.749
cxcr4,2,1.767,38.486,-3.025
cxcr4,3,19.070,-49.070,23.736
cxcr4,4,-27.511,10.983,43.381
cxcr4,5,-11.410,-15.484,-2.750
cxcr4,6,24.227,0.983,42.150
cxcr4,7,-16.835,57.299,41.903
cxcr4,8,-11.857,32.296,79.718
cxcr4,9,35.614,17.095,3.433
cxcr4,10,-1.081,12.357,20.252
cxcr4,11,25.536,-24.161,66.086
cxcr4,12,24.270,44.388,20.905
cxcr4,13,14.653,20.807,66.515
cxcr4,14,5.394,-21.431,30.450
cxcr4,15,-21.792,2.841,73.293
cxcr4,16,2.342,-8.220,61.565
cxcr4,17,-4.459,28.683,43.341
cxcr4,18,33.271,-1.771,81.662
cxcr4,19,-20.326,-12.998,24.031
cxcr4,20,-1.956,51.486,20.047
cxcr4,21,6.293,9.579,-5.056
cxcr4,22,-23.838,8.135,10.083
cxcr4,23,22.373,20.589,26.674
cxcr4,24,-24.829,28.164,59.820
cxcr4,25,24.580,-29.378,43.422
cxcr4,26,-6.180,2.141,42.071
