target,grid_id,grid_x,grid_y,grid_z
def,1,-24.347,43.649,71.269
def,2,8.685,-14.340,4.280
def,3,49.049,54.558,31.591
def,4,13.431,33.342,21.589
def,5,-35.212,4.979,60.594
def,6,-3.388,3.122,39.428
def,7,-49.490,36.004,51.267
def,8,-16.445,10.183,11.040
def,9,18.921,63.054,28.074
def,10,16.657,-17.210,32.147
def,11,35.222,49.923,7.178
def,12,-10.400,19.078,72.291
def,13,-38.717,24.901,84.491
def,14,40.879,29.501,25.738
def,15,16.018,5.931,19.247
def,16,-6.526,-19.451,25.788
def,17,-26.423,36.130,46.263
def,18,5.587,16.187,1.208
def,19,25.510,44.689,40.122
def,20,37.137,68.590,45.107
def,21,-0.524,19.155,19.981
def,22,-46.199,20.858,63.233
def,23,-40.048,20.807,44.251
def,24,-10.231,-10.967,9.145
def,25,12.095,50.877,16.013
def,26,-12.548,31.959,59.944
