target,grid_id,grid_x,grid_y,grid_z
dhi1,1,76.454,10.993,41.504
dhi1,2,17.463,18.521,48.719
dhi1,3,78.509,29.162,82.769
dhi1,4,50.001,-3.540,68.209
dhi1,5,50.643,38.473,53.114
dhi1,6,46.126,14.942,29.332
dhi1,7,86.090,37.060,56.720
dhi1,8,41.342,22.464,73.468
dhi1,9,89.816,10.716,65.043
dhi1,10,64.849,17.168,62.704
dhi1,11,27.897,39.743,45.435
dhi1,12,31.799,-0.232,51.841
dhi1,13,68.648,-3.781,57.547
dhi1,14,47.003,15.298,51.794
dhi1,15,61.423,6.015,81.709
dhi1,16,65.170,25.614,33.681
dhi1,17,27.115,32.547,64.389
dhi1,18,42.543,33.563,33.972
dhi1,19,68.853,36.339,67.652
dhi1,20,68.786,36.476,48.953
dhi1,21,55.400,3.052,40.099
dhi1,22,29.402,12.549,63.788
dhi1,23,31.773,19.648,38.936
dhi1,24,84.362,0.303,53.163
dhi1,25,77.335,15.077,75.202
dhi1,26,78.483,24.798,52.367
