target,grid_id,grid_x,grid_y,grid_z
dpp4,1,22.730,14.216,20.881
dpp4,2,52.003,139.905,135.894
dpp4,3,-29.279,67.465,113.291
dpp4,4,-29.161,-31.598,91.616
dpp4,5,58.693,-16.059,88.693
dpp4,6,63.139,72.590,104.219
dpp4,7,-5.061,129.774,98.101
dpp4,8,-34.378,30.387,54.431
dpp4,9,-7.480,108.898,159.578
dpp4,10,17.443,21.947,79.805
dpp4,11,32.640,-35.555,42.566
dpp4,12,-18.667,-16.910,40.825
dpp4,13,43.660,119.857,90.153
dpp4,14,69.051,94.929,150.775
dpp4,15,14.411,81.294,96.972
dpp4,16,-25.451,17.351,100.571
dpp4,17,60.410,10.313,48.680
dpp4,18,83.316,114.349,112.916
dpp4,19,-55.913,-8.727,63.463
dpp4,20,-5.773,65.386,151.712
dpp4,21,31.492,91.115,134.061
dpp4,22,-34.821,103.783,130.149
dpp4,23,1.413,-13.024,73.368
dpp4,24,14.479,123.559,131.793
dpp4,25,-2.543,18.817,49.611
dpp4,26,30.055,32.190,49.899
