target,grid_id,grid_x,grid_y,grid_z
drd3,1,-4.995,-32.674,12.084
drd3,2,-6.688,46.792,48.913
drd3,3,7.945,27.189,-46.821
drd3,4,-18.247,-6.014,62.110
drd3,5,22.355,25.981,6.671
drd3,6,17.245,-20.742,-28.866
drd3,7,-14.696,10.087,17.582
drd3,8,-17.599,-4.749,-21.416
drd3,9,-5.724,-10.552,-56.717
drd3,10,16.713,-6.524,14.612
drd3,11,-30.647,23.148,51.002
drd3,12,-2.333,23.095,-16.968
drd3,13,1.623,16.756,43.797
drd3,14,22.905,10.069,-16.764
drd3,15,-4.377,-27.855,-13.715
drd3,16,19.026,1.038,-41.989
drd3,17,-2.003,-0.432,-1.676
drd3,18,0.400,29.138,22.449
drd3,19,1.774,-18.441,30.113
drd3,20,15.010,-41.020,-15.891
drd3,21,18.698,14.993,27.010
drd3,22,-6.315,7.299,-41.763
drd3,23,-24.918,4.472,37.496
drd3,24,-20.660,-11.694,16.810
drd3,25,-19.232,26.873,32.436
drd3,26,13.010,-18.812,-2.920
