target,grid_id,grid_x,grid_y,grid_z
dyr,1,19.401,29.704,-2.475
dyr,2,23.042,-16.572,-4.847
dyr,3,16.920,6.135,21.919
dyr,4,44.183,11.881,7.733
dyr,5,18.108,12.776,-28.412
dyr,6,1.161,3.315,-3.035
dyr,7,31.306,13.543,-10.892
dyr,8,9.944,-6.277,10.070
dyr,9,28.442,21.065,10.673
dyr,10,7.877,17.775,-10.874
dyr,11,31.414,0.511,3.301
dyr,12,5.793,30.634,7.675
dyr,13,19.942,2.193,-12.603
dyr,14,17.987,11.449,4.840
dyr,15,26.049,26.843,-15.543
dyr,16,37.282,23.606,0.235
dyr,17,4.970,7.073,-17.300
dyr,18,23.201,17.969,21.786
dyr,19,13.081,-4.190,-4.141
dyr,20,5.600,5.504,9.247
dyr,21,14.961,33.225,-13.681
dyr,22,19.678,17.449,-7.140
dyr,23,25.060,-0.095,15.040
dyr,24,10.929,20.135,8.236
dyr,25,12.254,8.114,-6.639
dyr,26,30.392,9.806,14.580
