target,grid_id,grid_x,grid_y,grid_z
egfr,1,1.538,37.455,107.874
egfr,2,49.186,52.469,83.078
egfr,3,10.784,53.172,60.365
egfr,4,14.890,66.199,91.987
egfr,5,10.850,23.609,78.361
egfr,6,32.612,42.320,108.529
egfr,7,20.039,20.226,107.869
egfr,8,26.628,44.245,81.783
egfr,9,5.677,45.097,86.583
egfr,10,27.437,62.769,72.430
egfr,11,2.207,21.090,96.272
egfr,12,16.578,36.913,119.695
egfr,13,25.518,26.385,89.898
egfr,14,16.115,57.355,108.137
egfr,15,20.517,38.444,65.853
egfr,16,17.129,39.114,101.469
egfr,17,30.177,63.333,98.528
egfr,18,9.025,62.341,77.215
egfr,19,39.012,47.169,94.289
egfr,20,40.034,39.593,79.242
egfr,21,9.457,46.370,73.018
egfr,22,29.323,49.029,69.197
egfr,23,-2.418,34.163,88.204
egfr,24,19.323,49.160,92.429
egfr,25,3.706,23.939,109.326
egfr,26,20.698,55.608,80.960
