target,grid_id,grid_x,grid_y,grid_z
esr1,1,10.214,11.766,7.228
esr1,2,37.296,-20.964,37.638
esr1,3,19.400,18.425,41.222
esr1,4,39.835,3.479,17.942
esr1,5,16.809,-14.811,4.726
esr1,6,14.992,-4.354,28.569
esr1,7,5.306,30.348,25.010
esr1,8,37.484,1.821,45.172
esr1,9,33.084,15.789,-1.303
esr1,10,21.797,14.769,22.001
esr1,11,29.882,-2.391,2.824
esr1,12,30.667,-12.841,23.638
esr1,13,-0.037,14.349,22.459
esr1,14,34.030,10.645,31.824
esr1,15,47.189,-0.725,33.030
esr1,16,13.899,-1.627,-2.200
esr1,17,9.504,-1.016,14.969
esr1,18,22.823,-18.294,35.943
esr1,19,24.023,-1.924,42.414
esr1,20,24.005,1.440,17.840
esr1,21,22.042,19.873,8.875
esr1,22,8.317,10.097,32.942
esr1,23,19.810,16.402,-4.555
esr1,24,9.589,22.130,15.853
esr1,25,34.371,-2.415,33.635
esr1,26,33.693,14.158,11.209
