target,grid_id,grid_x,grid_y,grid_z
fa7,1,15.469,22.373,24.610
fa7,2,58.333,37.765,46.786
fa7,3,14.958,43.259,63.742
fa7,4,30.056,51.141,34.875
fa7,5,29.333,14.323,52.013
fa7,6,4.448,42.936,38.588
fa7,7,47.445,31.353,26.759
fa7,8,20.731,42.189,16.013
fa7,9,33.758,39.841,52.762
fa7,10,10.124,23.397,50.047
fa7,11,46.491,20.545,43.842
fa7,12,34.322,5.301,34.923
fa7,13,16.628,53.112,47.604
fa7,14,1.180,31.973,25.389
fa7,15,31.513,31.390,32.072
fa7,16,8.081,15.352,36.500
fa7,17,45.310,43.171,40.643
fa7,18,1.538,35.003,52.943
fa7,19,33.887,42.827,23.306
fa7,20,21.922,26.717,57.736
fa7,21,23.370,40.643,42.211
fa7,22,23.038,13.752,37.660
fa7,23,11.168,46.045,26.416
fa7,24,6.973,28.697,37.595
fa7,25,29.808,31.429,18.964
fa7,26,19.746,54.846,28.459
