target,grid_id,grid_x,grid_y,grid_z
fabp4,1,11.446,16.187,0.805
fabp4,2,1.480,-4.128,32.605
fabp4,3,17.336,17.207,30.080
fabp4,4,-8.360,8.742,10.839
fabp4,5,8.891,-5.174,11.864
fabp4,6,-1.050,13.797,27.807
fabp4,7,21.475,10.745,13.546
fabp4,8,8.980,28.537,10.829
fabp4,9,0.077,0.812,-0.001
fabp4,10,16.977,-1.052,-0.716
fabp4,11,17.575,2.221,26.444
fabp4,12,-1.310,22.736,1.028
fabp4,13,5.380,8.090,10.467
fabp4,14,8.115,25.689,24.951
fabp4,15,-2.572,-6.576,21.049
fabp4,16,9.358,13.892,20.712
fabp4,17,5.365,3.277,24.282
fabp4,18,8.880,4.843,-5.548
fabp4,19,-3.153,17.704,10.889
fabp4,20,8.944,26.057,1.645
fabp4,21,17.720,3.082,7.592
fabp4,22,-7.307,0.211,16.921
fabp4,23,14.279,22.407,14.901
fabp4,24,11.311,5.713,17.588
fabp4,25,-1.781,10.783,5.134
fabp4,26,-1.074,13.290,18.380
