target,grid_id,grid_x,grid_y,grid_z
fak1,1,23.503,23.427,11.929
fak1,2,-15.489,-12.287,28.024
fak1,3,27.599,-26.450,21.118
fak1,4,13.805,0.292,34.694
fak1,5,0.437,4.991,-1.699
fak1,6,4.374,-19.138,9.962
fak1,7,-7.077,9.007,21.522
fak1,8,19.822,-0.777,10.753
fak1,9,21.579,11.690,-9.100
fak1,10,-1.770,25.148,7.563
fak1,11,11.803,-18.199,31.469
fak1,12,-2.737,-7.770,40.901
fak1,13,11.511,12.249,20.474
fak1,14,-18.418,-6.106,12.118
fak1,15,-0.356,-5.874,22.507
fak1,16,24.676,-11.850,23.627
fak1,17,15.993,26.773,-0.624
fak1,18,14.388,-0.898,-3.189
fak1,19,18.433,-15.082,8.458
fak1,20,32.192,16.595,2.896
fak1,21,-2.887,-5.628,8.503
fak1,22,6.865,15.739,33.238
fak1,23,9.649,11.250,5.938
fak1,24,-12.777,3.834,32.511
fak1,25,9.647,-12.836,20.278
fak1,26,1.927,2.243,32.613
