target,grid_id,grid_x,grid_y,grid_z
fgfr1,1,-13.013,17.014,8.849
fgfr1,2,90.621,-5.953,5.467
fgfr1,3,24.360,-28.188,28.628
fgfr1,4,42.462,22.373,14.310
fgfr1,5,23.110,-6.557,-8.851
fgfr1,6,59.183,-7.219,37.200
fgfr1,7,-8.352,-12.125,31.251
fgfr1,8,55.271,-16.812,2.498
fgfr1,9,76.293,28.421,11.748
fgfr1,10,14.483,11.545,28.256
fgfr1,11,13.541,20.373,-1.486
fgfr1,12,67.244,7.315,-1.836
fgfr1,13,4.413,-4.673,9.653
fgfr1,14,38.093,-7.597,23.107
fgfr1,15,82.789,8.282,25.380
fgfr1,16,43.555,10.060,36.968
fgfr1,17,23.127,-23.300,7.223
fgfr1,18,62.015,14.362,21.844
fgfr1,19,39.370,6.805,0.010
fgfr1,20,68.487,-4.046,16.334
fgfr1,21,12.380,-8.474,28.633
fgfr1,22,50.032,-28.231,17.533
fgfr1,23,-6.447,5.713,23.454
fgfr1,24,4.509,24.154,17.390
fgfr1,25,84.401,12.143,4.664
fgfr1,26,-19.747,-5.702,16.904
