target,grid_id,grid_x,grid_y,grid_z
fkb1a,1,-37.748,52.017,21.626
fkb1a,2,-49.124,24.829,34.237
fkb1a,3,-60.943,50.984,39.135
fkb1a,4,-35.026,43.691,45.997
fkb1a,5,-27.608,31.207,25.939
fkb1a,6,-54.873,39.846,24.439
fkb1a,7,-51.933,37.405,45.109
fkb1a,8,-46.663,55.686,45.087
fkb1a,9,-25.229,43.595,16.620
fkb1a,10,-38.989,29.373,16.072
fkb1a,11,-45.910,45.839,34.624
fkb1a,12,-31.922,43.700,33.574
fkb1a,13,-42.310,29.644,43.032
fkb1a,14,-42.245,41.178,19.420
fkb1a,15,-37.461,53.975,38.941
fkb1a,16,-46.464,28.600,24.581
fkb1a,17,-37.155,35.082,26.004
fkb1a,18,-47.068,52.866,27.556
fkb1a,19,-39.230,37.291,37.339
fkb1a,20,-23.723,41.297,26.120
fkb1a,21,-52.128,33.515,31.337
fkb1a,22,-49.942,46.666,18.045
fkb1a,23,-53.685,53.707,33.969
fkb1a,24,-54.869,44.312,38.772
fkb1a,25,-32.739,40.129,19.941
fkb1a,26,-60.284,45.858,28.180
