target,grid_id,grid_x,grid_y,grid_z
fnta,1,34.892,-50.961,19.292
fnta,2,-28.192,-92.031,-6.270
fnta,3,19.516,-76.878,-31.272
fnta,4,11.147,-103.348,31.046
fnta,5,-9.046,-53.737,8.739
fnta,6,40.079,-95.493,3.234
fnta,7,6.394,-100.229,-6.513
fnta,8,14.506,-75.766,14.589
fnta,9,-10.910,-70.090,-20.513
fnta,10,12.971,-59.476,-10.014
fnta,11,39.031,-76.516,25.429
fnta,12,38.048,-67.809,0.791
fnta,13,20.037,-63.062,35.053
fnta,14,-27.769,-64.510,-3.612
fnta,15,-8.221,-89.074,9.558
fnta,16,8.497,-48.138,22.026
fnta,17,5.644,-94.594,-31.563
fnta,18,22.061,-84.540,-7.325
fnta,19,0.589,-83.870,27.951
fnta,20,20.273,-95.799,14.006
fnta,21,-17.355,-70.788,11.166
fnta,22,-9.788,-52.097,-10.289
fnta,23,-1.688,-80.805,-6.100
fnta,24,50.615,-60.866,16.474
fnta,25,23.596,-85.874,29.656
fnta,26,8.096,-55.853,6.281
