target,grid_id,grid_x,grid_y,grid_z
fpps,1,-7.743,35.253,4.505
fpps,2,28.656,51.648,-35.521
fpps,3,22.536,12.963,22.131
fpps,4,23.282,22.061,-13.757
fpps,5,-0.743,40.608,-26.830
fpps,6,-5.046,10.835,-19.606
fpps,7,26.036,40.287,11.694
fpps,8,-1.381,4.293,9.089
fpps,9,10.369,52.121,-4.479
fpps,10,-24.586,17.067,3.390
fpps,11,35.486,46.385,-13.348
fpps,12,1.189,23.710,22.332
fpps,13,9.779,20.688,2.762
fpps,14,-12.577,28.541,-14.317
fpps,15,26.571,32.010,-29.468
fpps,16,6.724,34.117,-8.735
fpps,17,11.284,53.246,-25.555
fpps,18,-7.840,18.649,1.283
fpps,19,27.711,26.361,1.812
fpps,20,7.180,6.999,-6.083
fpps,21,8.445,20.882,-20.440
fpps,22,11.870,33.130,15.537
fpps,23,22.560,40.874,-6.981
fpps,24,23.636,44.418,-22.870
fpps,25,11.908,34.516,-25.763
fpps,26,-6.087,24.377,-25.329
