target,grid_id,grid_x,grid_y,grid_z
gcr,1,25.162,54.271,-20.529
gcr,2,43.900,14.742,24.664
gcr,3,51.700,17.351,-18.515
gcr,4,16.632,23.018,-0.103
gcr,5,51.899,48.521,2.658
gcr,6,32.317,46.194,23.324
gcr,7,50.295,40.630,-28.451
gcr,8,37.272,5.460,2.280
gcr,9,29.469,29.107,-19.424
gcr,10,54.967,25.875,8.240
gcr,11,35.085,31.199,4.805
gcr,12,54.448,40.942,19.914
gcr,13,53.616,33.732,-9.806
gcr,14,23.477,23.705,16.604
gcr,15,26.022,43.128,-7.580
gcr,16,40.120,32.156,26.324
gcr,17,43.424,18.309,-4.954
gcr,18,36.992,43.992,-19.150
gcr,19,24.078,12.701,-8.915
gcr,20,32.582,47.779,8.514
gcr,21,15.518,12.711,10.812
gcr,22,43.757,29.476,-19.982
gcr,23,21.976,34.712,5.396
gcr,24,38.315,18.227,7.456
gcr,25,40.733,38.628,13.968
gcr,26,40.234,48.728,-2.960
