target,grid_id,grid_x,grid_y,grid_z
glcm,1,12.893,27.648,29.674
glcm,2,69.032,18.882,-47.870
glcm,3,2.766,33.007,-38.320
glcm,4,64.500,30.502,7.053
glcm,5,43.121,59.842,-28.283
glcm,6,30.092,2.144,-9.410
glcm,7,-9.564,7.185,1.507
glcm,8,31.842,47.610,4.533
glcm,9,33.402,17.135,-40.977
glcm,10,41.836,8.685,20.906
glcm,11,3.864,36.532,0.039
glcm,12,54.874,24.265,-20.901
glcm,13,53.442,42.197,-46.818
glcm,14,2.547,51.772,23.302
glcm,15,23.038,49.126,-42.307
glcm,16,13.877,4.593,12.873
glcm,17,21.217,25.497,-15.543
glcm,18,46.986,40.743,24.150
glcm,19,53.374,3.640,-0.225
glcm,20,78.813,12.075,-26.743
glcm,21,21.991,26.445,8.880
glcm,22,54.266,5.226,-32.398
glcm,23,49.702,44.221,-12.847
glcm,24,69.557,38.217,-27.748
glcm,25,62.347,59.086,-36.242
glcm,26,-1.833,20.314,15.313
