target,grid_id,grid_x,grid_y,grid_z
gria2,1,38.103,49.302,-23.576
gria2,2,-23.888,34.151,-1.451
gria2,3,18.204,76.517,23.463
gria2,4,21.688,18.073,19.562
gria2,5,7.781,18.863,-18.820
gria2,6,41.944,49.210,16.207
gria2,7,6.093,59.224,-9.791
gria2,8,0.544,45.075,19.855
gria2,9,33.590,72.670,-3.442
gria2,10,27.700,33.237,-2.574
gria2,11,-5.920,45.616,-28.453
gria2,12,54.634,58.623,-2.566
gria2,13,1.953,23.334,3.148
gria2,14,19.971,54.357,12.113
gria2,15,15.033,39.670,-21.602
gria2,16,16.349,76.295,-17.177
gria2,17,9.643,74.136,5.041
gria2,18,-7.021,45.196,-3.510
gria2,19,19.272,36.966,23.925
gria2,20,21.444,15.440,-0.669
gria2,21,24.795,56.404,-9.678
gria2,22,32.745,65.731,20.673
gria2,23,4.753,19.807,25.910
gria2,24,8.861,40.808,4.004
gria2,25,39.345,48.064,-6.145
gria2,26,-1.934,32.767,-16.780
