target,grid_id,grid_x,grid_y,grid_z
grik1,1,48.168,21.606,-14.378
grik1,2,32.763,-3.779,36.195
grik1,3,41.090,-19.794,7.107
grik1,4,48.366,22.906,22.541
grik1,5,22.679,8.637,11.928
grik1,6,66.635,6.795,1.206
grik1,7,40.052,39.781,4.187
grik1,8,39.272,-1.424,-10.305
grik1,9,49.627,-1.825,19.399
grik1,10,38.006,20.173,3.824
grik1,11,24.467,-9.996,21.055
grik1,12,35.155,10.777,25.456
grik1,13,57.253,3.699,-12.860
grik1,14,39.260,-16.336,25.486
grik1,15,37.159,1.179,5.941
grik1,16,59.194,18.187,10.516
grik1,17,35.103,13.631,-13.643
grik1,18,48.894,9.637,2.455
grik1,19,58.066,22.325,-3.408
grik1,20,43.507,4.490,34.218
grik1,21,28.646,-11.110,8.247
grik1,22,47.726,28.995,1.621
grik1,23,40.278,30.223,15.110
grik1,24,42.603,-8.311,11.118
grik1,25,29.392,8.247,0.668
grik1,26,39.225,-3.978,24.205
