target,grid_id,grid_x,grid_y,grid_z
hdac8,1,-51.465,3.950,-28.695
hdac8,2,16.627,4.046,58.035
hdac8,3,21.168,37.974,-13.493
hdac8,4,-25.072,-6.550,21.485
hdac8,5,-22.051,12.267,-67.095
hdac8,6,9.677,42.917,32.240
hdac8,7,-24.773,38.821,-15.022
hdac8,8,-50.658,37.763,-52.011
hdac8,9,10.809,7.813,12.684
hdac8,10,-13.666,3.273,-31.366
hdac8,11,-19.545,14.194,54.079
hdac8,12,5.096,-27.699,26.373
hdac8,13,-15.906,31.177,18.186
hdac8,14,-21.532,32.284,-44.565
hdac8,15,-3.532,18.884,-8.013
hdac8,16,27.119,20.304,38.711
hdac8,17,-0.504,17.537,35.603
hdac8,18,-3.267,-18.487,49.374
hdac8,19,-49.203,28.117,-19.544
hdac8,20,-28.383,13.204,-12.031
hdac8,21,-32.018,-3.191,-49.237
hdac8,22,7.134,44.644,6.657
hdac8,23,16.358,-4.974,33.926
hdac8,24,25.437,14.466,-7.277
hdac8,25,-55.848,15.681,-48.792
hdac8,26,-7.081,-4.576,33.339
