target,grid_id,grid_x,grid_y,grid_z
hivint,1,-2.549,-23.816,0.395
hivint,2,43.267,-25.013,11.007
hivint,3,16.899,-51.690,16.045
hivint,4,21.942,-38.775,-13.318
hivint,5,22.613,-13.210,30.988
hivint,6,17.634,-8.473,5.957
hivint,7,-0.295,-48.424,-1.109
hivint,8,2.245,-16.030,21.416
hivint,9,20.785,-30.684,7.705
hivint,10,10.270,-34.731,26.938
hivint,11,12.675,-20.020,-14.188
hivint,12,-2.811,-33.412,-17.543
hivint,13,29.131,-32.649,26.593
hivint,14,34.734,-21.864,-5.550
hivint,15,36.568,-40.403,-3.111
hivint,16,-1.397,-39.992,15.245
hivint,17,36.331,-12.300,20.907
hivint,18,30.627,-42.014,13.192
hivint,19,21.268,-46.965,-0.047
hivint,20,7.736,-36.424,3.054
hivint,21,30.928,-13.624,5.605
hivint,22,7.515,-25.023,11.471
hivint,23,21.065,-18.548,-2.253
hivint,24,6.311,-13.072,0.413
hivint,25,22.251,-15.728,17.845
hivint,26,24.381,-25.927,-16.368
