target,grid_id,grid_x,grid_y,grid_z
hivpr,1,28.703,5.651,-3.205
hivpr,2,-7.244,-15.540,12.227
hivpr,3,47.038,5.499,30.975
hivpr,4,18.081,-6.310,27.996
hivpr,5,0.898,13.171,13.191
hivpr,6,45.122,-7.111,9.277
hivpr,7,21.802,17.768,15.973
hivpr,8,7.223,-2.485,1.911
hivpr,9,42.453,11.754,11.553
hivpr,10,23.585,-7.934,9.596
hivpr,11,30.281,5.816,26.382
hivpr,12,-3.295,-2.940,22.111
hivpr,13,5.806,-15.172,23.137
hivpr,14,13.053,15.041,3.844
hivpr,15,39.055,-6.049,23.677
hivpr,16,20.909,3.473,16.289
hivpr,17,-1.768,6.940,2.040
hivpr,18,32.439,1.581,10.414
hivpr,19,6.883,0.827,14.487
hivpr,20,12.154,-13.049,11.933
hivpr,21,23.064,-6.308,-2.790
hivpr,22,47.700,1.549,17.828
hivpr,23,11.512,10.556,19.720
hivpr,24,18.010,2.420,3.354
hivpr,25,33.872,-10.741,14.532
hivpr,26,33.340,-2.862,33.057
