target,grid_id,grid_x,grid_y,grid_z
hivrt,1,30.833,2.639,29.884
hivrt,2,-5.568,95.812,11.625
hivrt,3,54.304,60.980,-1.704
hivrt,4,-25.960,31.922,38.202
hivrt,5,8.836,44.034,4.982
hivrt,6,-1.385,69.600,50.128
hivrt,7,38.287,47.139,34.801
hivrt,8,39.518,11.620,67.926
hivrt,9,-26.560,61.588,13.254
hivrt,10,-4.584,9.873,16.323
hivrt,11,27.124,79.010,19.456
hivrt,12,35.719,24.711,2.984
hivrt,13,8.620,2.337,52.599
hivrt,14,17.836,28.421,27.463
hivrt,15,27.621,60.153,-11.996
hivrt,16,17.724,0.388,1.405
hivrt,17,-0.103,68.231,21.747
hivrt,18,-2.344,38.546,49.737
hivrt,19,-20.844,81.938,31.432
hivrt,20,45.866,21.917,39.927
hivrt,21,-18.401,37.545,6.859
hivrt,22,22.384,23.580,51.212
hivrt,23,53.718,39.541,17.989
hivrt,24,29.796,54.838,14.057
hivrt,25,-5.091,30.830,26.946
hivrt,26,-15.144,50.975,29.556
