target,grid_id,grid_x,grid_y,grid_z
hmdh,1,26.700,-32.028,45.708
hmdh,2,-42.758,63.292,-7.516
hmdh,3,-40.068,7.771,50.341
hmdh,4,19.254,20.798,-13.861
hmdh,5,-2.065,53.784,29.133
hmdh,6,-21.201,-17.773,6.472
hmdh,7,7.122,11.999,51.914
hmdh,8,-25.710,-32.084,68.713
hmdh,9,-24.197,18.990,-21.294
hmdh,10,2.904,61.184,-17.316
hmdh,11,-45.091,40.396,25.717
hmdh,12,23.239,-2.107,17.931
hmdh,13,-9.392,15.443,17.569
hmdh,14,-47.069,9.552,7.764
hmdh,15,-9.422,-19.568,39.084
hmdh,16,24.529,33.014,22.595
hmdh,17,-21.730,35.954,49.841
hmdh,18,-22.516,41.760,0.494
hmdh,19,1.128,-2.591,-8.782
hmdh,20,-18.657,-5.715,62.498
hmdh,21,5.604,38.226,1.891
hmdh,22,12.200,-48.283,29.625
hmdh,23,-34.895,-3.380,26.766
hmdh,24,16.072,44.800,-32.422
hmdh,25,14.624,-9.998,40.980
hmdh,26,-17.720,13.137,41.953
