target,grid_id,grid_x,grid_y,grid_z
hs90a,1,5.968,28.822,38.723
hs90a,2,16.044,1.453,2.803
hs90a,3,-17.213,21.788,8.368
hs90a,4,-8.181,-5.457,37.148
hs90a,5,14.954,5.993,29.995
hs90a,6,5.397,30.025,13.967
hs90a,7,-11.008,0.203,8.306
hs90a,8,-18.222,10.636,27.718
hs90a,9,9.348,19.505,-1.477
hs90a,10,-0.582,11.835,41.735
hs90a,11,22.525,13.366,14.726
hs90a,12,-0.936,16.216,22.426
hs90a,13,-12.802,26.459,31.917
hs90a,14,-12.352,33.724,17.645
hs90a,15,-5.671,0.574,22.709
hs90a,16,14.603,25.110,25.193
hs90a,17,-2.598,12.359,3.576
hs90a,18,-13.977,7.313,42.077
hs90a,19,10.277,8.134,17.036
hs90a,20,-15.476,20.990,20.916
hs90a,21,15.952,22.576,9.684
hs90a,22,22.611,1.884,18.424
hs90a,23,-3.453,28.238,6.329
hs90a,24,6.194,16.329,9.978
hs90a,25,-10.553,9.072,15.671
hs90a,26,1.161,3.362,31.546
