target,grid_id,grid_x,grid_y,grid_z
hxk4,1,-57.042,13.432,-20.126
hxk4,2,-12.974,-5.872,39.325
hxk4,3,1.449,-12.826,-7.032
hxk4,4,-39.792,18.480,18.264
hxk4,5,-33.899,-19.754,8.815
hxk4,6,-8.978,13.274,8.029
hxk4,7,-31.219,4.099,-9.081
hxk4,8,-5.157,-27.233,14.744
hxk4,9,-54.347,1.202,2.750
hxk4,10,-37.441,-8.173,31.488
hxk4,11,-17.340,17.435,33.253
hxk4,12,4.268,-3.734,17.431
hxk4,13,-45.401,-13.388,-11.643
hxk4,14,-14.722,-11.818,4.946
hxk4,15,-22.424,-16.375,23.273
hxk4,16,-27.689,5.155,9.225
hxk4,17,-44.009,1.540,-21.408
hxk4,18,-57.963,17.186,-3.209
hxk4,19,-43.766,-3.275,15.225
hxk4,20,-27.443,5.040,29.778
hxk4,21,-42.030,13.352,-1.391
hxk4,22,-20.323,23.321,18.613
hxk4,23,-15.261,-0.777,17.420
hxk4,24,-9.677,1.753,-2.396
hxk4,25,-18.634,-28.723,7.337
hxk4,26,-35.814,14.603,-20.685
