target,grid_id,grid_x,grid_y,grid_z
igf1r,1,-10.953,11.464,32.795
igf1r,2,33.646,-4.956,-0.677
igf1r,3,25.146,10.177,37.314
igf1r,4,2.223,12.109,-7.352
igf1r,5,2.035,-15.670,12.074
igf1r,6,24.349,-25.205,24.355
igf1r,7,23.328,15.703,12.982
igf1r,8,-17.099,-4.580,16.637
igf1r,9,41.948,5.061,18.966
igf1r,10,4.723,-6.230,31.997
igf1r,11,21.159,-4.912,18.201
igf1r,12,2.240,15.322,14.478
igf1r,13,8.077,-9.085,-6.385
igf1r,14,7.767,15.072,35.702
igf1r,15,-9.483,5.281,3.708
igf1r,16,34.284,-16.835,12.145
igf1r,17,19.752,-16.677,3.164
igf1r,18,24.757,9.480,-2.363
igf1r,19,34.623,-7.020,26.001
igf1r,20,7.621,4.070,5.385
igf1r,21,14.020,8.830,23.224
igf1r,22,-7.991,-17.481,23.425
igf1r,23,19.161,-3.657,34.394
igf1r,24,19.385,-2.836,0.887
igf1r,25,1.474,2.339,18.740
igf1r,26,28.896,7.685,22.450
