target,grid_id,grid_x,grid_y,grid_z
inha,1,-1.497,54.981,46.437
inha,2,20.397,15.403,62.239
inha,3,-15.988,24.532,62.743
inha,4,1.114,24.920,34.248
inha,5,24.056,49.460,65.225
inha,6,3.579,36.606,70.156
inha,7,-17.330,38.239,42.531
inha,8,16.666,36.964,48.083
inha,9,2.961,20.130,54.194
inha,10,14.533,36.332,29.611
inha,11,21.080,32.069,69.968
inha,12,-12.961,47.990,56.799
inha,13,-0.066,41.730,34.723
inha,14,-11.146,18.582,42.434
inha,15,4.643,49.947,60.052
inha,16,-0.599,39.827,49.470
inha,17,10.123,49.952,40.942
inha,18,14.266,18.889,46.410
inha,19,-16.357,38.211,65.681
inha,20,-4.608,30.226,59.731
inha,21,9.233,25.809,66.316
inha,22,23.100,31.575,57.529
inha,23,-5.020,28.665,46.485
inha,24,-16.632,34.180,54.184
inha,25,15.366,42.606,72.038
inha,26,15.086,41.385,59.289
