target,grid_id,grid_x,grid_y,grid_z
ital,1,-9.198,-3.709,26.055
ital,2,0.978,11.765,53.177
ital,3,21.127,2.401,31.239
ital,4,4.543,14.159,8.360
ital,5,11.002,-11.795,14.919
ital,6,0.879,20.939,30.398
ital,7,2.365,-8.372,43.400
ital,8,-12.290,8.679,39.719
ital,9,-11.168,5.313,11.499
ital,10,6.390,4.728,21.352
ital,11,2.913,7.086,38.297
ital,12,3.456,-12.347,28.205
ital,13,-9.925,-9.562,12.372
ital,14,-15.066,9.620,24.229
ital,15,5.359,-3.128,6.158
ital,16,15.196,-10.169,34.572
ital,17,12.875,18.134,35.128
ital,18,-13.211,-6.305,37.707
ital,19,-4.148,12.147,19.161
ital,20,10.975,-1.533,45.648
ital,21,1.376,-1.508,29.935
ital,22,-0.841,-9.017,18.502
ital,23,5.654,16.512,20.154
ital,24,-0.464,1.938,49.566
ital,25,16.462,7.483,23.491
ital,26,14.605,8.196,37.319
