target,grid_id,grid_x,grid_y,grid_z
jak2,1,135.230,63.519,4.638
jak2,2,75.671,138.379,25.818
jak2,3,79.319,77.761,34.126
jak2,4,88.774,66.456,-19.275
jak2,5,109.869,107.310,19.602
jak2,6,64.741,103.857,5.767
jak2,7,112.863,89.827,-8.996
jak2,8,107.321,72.653,18.267
jak2,9,87.839,110.460,41.334
jak2,10,121.391,65.221,-21.269
jak2,11,82.834,81.928,3.647
jak2,12,114.807,44.053,3.130
jak2,13,86.570,119.451,11.512
jak2,14,89.048,49.207,-1.078
jak2,15,129.836,65.149,26.102
jak2,16,94.763,100.931,3.834
jak2,17,112.943,68.233,-1.914
jak2,18,75.262,100.111,23.912
jak2,19,74.834,93.818,-11.877
jak2,20,102.661,90.469,28.374
jak2,21,93.712,135.271,20.256
jak2,22,67.513,85.660,14.062
jak2,23,123.186,81.686,5.582
jak2,24,78.672,120.525,29.058
jak2,25,106.656,53.783,-10.488
jak2,26,91.034,80.134,19.597
