target,grid_id,grid_x,grid_y,grid_z
kif11,1,38.535,-7.704,101.532
kif11,2,5.249,5.142,27.389
kif11,3,61.431,0.656,49.671
kif11,4,22.104,26.773,70.440
kif11,5,1.658,15.190,118.988
kif11,6,-1.923,-23.796,97.683
kif11,7,26.741,-13.029,63.877
kif11,8,51.122,7.588,130.766
kif11,9,33.284,26.803,103.758
kif11,10,34.083,20.083,36.317
kif11,11,57.701,-24.623,69.854
kif11,12,14.087,6.183,90.568
kif11,13,44.222,10.605,67.118
kif11,14,27.136,6.707,119.967
kif11,15,13.011,12.924,50.195
kif11,16,18.875,-17.788,110.993
kif11,17,36.401,-3.509,37.653
kif11,18,49.651,17.547,91.721
kif11,19,-5.960,4.145,101.412
kif11,20,15.173,-15.452,87.510
kif11,21,43.319,-20.699,53.603
kif11,22,43.034,-5.432,81.301
kif11,23,16.778,26.834,91.612
kif11,24,17.630,5.346,68.029
kif11,25,40.254,25.606,54.434
kif11,26,56.140,16.196,39.202
