target,grid_id,grid_x,grid_y,grid_z
kit,1,55.961,-7.467,-101.500
kit,2,20.980,20.422,-55.602
kit,3,56.716,-15.517,-50.142
kit,4,12.399,-19.651,-86.773
kit,5,50.140,7.240,-72.294
kit,6,44.698,-27.200,-78.705
kit,7,27.493,-9.496,-45.682
kit,8,23.298,2.591,-76.571
kit,9,34.362,-18.104,-99.084
kit,10,61.725,-11.663,-71.999
kit,11,39.218,9.195,-50.827
kit,12,68.798,0.769,-56.886
kit,13,39.244,-24.742,-56.657
kit,14,26.207,-15.327,-68.429
kit,15,60.699,-30.624,-66.191
kit,16,42.215,-7.510,-85.075
kit,17,43.804,-8.831,-66.112
kit,18,23.419,-6.881,-92.710
kit,19,27.584,-1.486,-60.106
kit,20,44.046,-6.949,-45.523
kit,21,67.785,-15.790,-95.410
kit,22,35.500,10.910,-69.026
kit,23,29.851,-26.717,-82.376
kit,24,51.052,2.127,-57.165
kit,25,51.597,3.976,-86.788
kit,26,46.003,-21.288,-91.392
