target,grid_id,grid_x,grid_y,grid_z
kith,1,3.958,-20.712,18.866
kith,2,5.774,46.972,13.625
kith,3,33.148,14.802,52.291
kith,4,-13.602,15.756,44.200
kith,5,36.546,14.919,-1.880
kith,6,-9.820,10.345,-7.151
kith,7,34.760,-26.424,-2.311
kith,8,34.001,-12.456,30.273
kith,9,15.046,10.978,21.212
kith,10,7.664,-11.841,-17.126
kith,11,-20.596,-12.560,38.941
kith,12,8.406,-2.093,48.223
kith,13,15.533,-36.001,39.167
kith,14,10.111,28.458,-6.328
kith,15,-8.417,24.745,18.742
kith,16,-11.317,-0.669,19.095
kith,17,-8.023,-34.951,34.473
kith,18,42.364,-6.180,7.575
kith,19,11.995,24.060,47.335
kith,20,18.972,-2.324,2.317
kith,21,-6.538,-12.446,0.794
kith,22,29.902,-8.264,51.199
kith,23,35.991,11.473,21.228
kith,24,-23.590,-26.357,23.398
kith,25,34.147,30.115,10.376
kith,26,25.682,-26.145,18.941
