target,grid_id,grid_x,grid_y,grid_z
kpcb,1,30.233,73.073,32.477
kpcb,2,-12.216,23.286,-1.543
kpcb,3,55.922,20.277,40.309
kpcb,4,30.239,46.100,-8.412
kpcb,5,-16.855,61.785,23.282
kpcb,6,17.237,35.035,45.512
kpcb,7,46.099,50.997,53.846
kpcb,8,53.392,40.969,14.561
kpcb,9,-13.411,28.063,30.515
kpcb,10,17.488,30.062,14.489
kpcb,11,3.959,53.756,1.845
kpcb,12,49.755,78.976,49.257
kpcb,13,11.060,56.894,26.715
kpcb,14,11.238,26.598,-10.464
kpcb,15,32.561,61.078,10.813
kpcb,16,37.090,42.530,32.348
kpcb,17,35.527,24.371,49.896
kpcb,18,-2.562,39.189,15.867
kpcb,19,30.390,82.929,13.714
kpcb,20,30.212,67.336,52.713
kpcb,21,37.309,26.220,16.914
kpcb,22,1.325,42.044,35.252
kpcb,23,45.112,59.693,28.002
kpcb,24,-22.172,38.792,17.184
kpcb,25,2.926,20.232,22.203
kpcb,26,25.371,54.075,40.654
