target,grid_id,grid_x,grid_y,grid_z
lck,1,1.315,29.244,90.529
lck,2,21.882,78.530,75.066
lck,3,42.298,40.959,68.808
lck,4,7.856,46.536,62.960
lck,5,32.127,20.680,90.006
lck,6,5.551,61.676,94.359
lck,7,25.332,41.678,102.993
lck,8,30.968,57.103,83.472
lck,9,19.679,37.367,79.309
lck,10,27.660,56.085,61.355
lck,11,2.271,65.753,69.230
lck,12,-5.920,52.370,80.836
lck,13,14.663,18.942,93.121
lck,14,0.678,38.427,75.515
lck,15,15.653,54.724,78.908
lck,16,26.941,39.742,65.870
lck,17,22.951,69.805,87.592
lck,18,8.935,47.664,90.063
lck,19,13.456,34.092,98.590
lck,20,29.273,66.708,70.703
lck,21,30.281,39.135,88.245
lck,22,14.512,59.565,64.305
lck,23,22.019,23.752,80.766
lck,24,6.259,68.105,82.212
lck,25,9.278,30.089,78.039
lck,26,34.194,51.023,70.198
