target,grid_id,grid_x,grid_y,grid_z
lkha4,1,-2.486,22.283,64.738
lkha4,2,47.836,54.856,97.737
lkha4,3,12.405,73.765,52.477
lkha4,4,32.731,37.332,48.407
lkha4,5,7.280,59.287,88.164
lkha4,6,-19.981,41.022,38.357
lkha4,7,28.633,31.119,82.415
lkha4,8,-8.177,50.374,65.010
lkha4,9,20.636,5.842,61.529
lkha4,10,6.335,52.798,34.282
lkha4,11,33.519,58.192,73.864
lkha4,12,5.515,33.546,83.180
lkha4,13,14.535,49.415,61.827
lkha4,14,-3.028,27.441,43.573
lkha4,15,29.077,60.281,49.719
lkha4,16,36.319,20.472,60.908
lkha4,17,-6.345,65.254,50.034
lkha4,18,26.529,63.173,93.028
lkha4,19,15.682,28.704,58.804
lkha4,20,-22.589,24.582,49.554
lkha4,21,44.959,34.667,71.463
lkha4,22,26.554,13.427,77.343
lkha4,23,50.096,51.955,78.002
lkha4,24,10.644,65.235,71.565
lkha4,25,19.390,49.176,80.998
lkha4,26,15.642,41.774,43.873
