target,grid_id,grid_x,grid_y,grid_z
mapk2,1,67.447,11.249,12.714
mapk2,2,24.492,-16.547,36.412
mapk2,3,29.332,24.625,22.541
mapk2,4,61.062,-17.953,34.145
mapk2,5,38.308,-4.266,3.359
mapk2,6,43.613,3.940,41.297
mapk2,7,43.079,20.690,-3.270
mapk2,8,50.234,-23.587,12.940
mapk2,9,65.815,3.422,35.676
mapk2,10,49.484,2.844,21.646
mapk2,11,46.472,29.990,13.844
mapk2,12,42.693,-20.206,40.829
mapk2,13,32.111,-22.055,20.026
mapk2,14,30.821,-0.672,28.478
mapk2,15,26.625,8.628,10.110
mapk2,16,44.955,18.542,29.786
mapk2,17,63.116,-11.431,18.338
mapk2,18,47.589,8.929,6.481
mapk2,19,56.763,-5.677,45.067
mapk2,20,47.994,-29.231,27.285
mapk2,21,32.050,25.126,6.749
mapk2,22,44.289,-10.848,22.232
mapk2,23,57.076,15.957,21.793
mapk2,24,34.749,-8.920,42.800
mapk2,25,32.944,12.162,-2.252
mapk2,26,55.366,-6.771,29.843
