target,grid_id,grid_x,grid_y,grid_z
mcr,1,32.807,29.164,17.807
mcr,2,7.297,86.984,28.851
mcr,3,48.075,70.149,19.316
mcr,4,16.176,63.004,3.658
mcr,5,27.590,54.060,39.999
mcr,6,43.960,51.463,0.450
mcr,7,27.768,82.788,15.477
mcr,8,10.049,65.224,31.454
mcr,9,20.687,47.723,20.064
mcr,10,27.412,76.680,35.599
mcr,11,-1.420,77.549,13.623
mcr,12,33.167,71.582,0.797
mcr,13,41.778,52.157,21.405
mcr,14,13.184,80.348,4.674
mcr,15,32.461,65.224,25.430
mcr,16,28.359,52.892,3.864
mcr,17,40.590,68.388,37.897
mcr,18,17.176,65.615,17.937
mcr,19,25.582,34.215,6.343
mcr,20,29.827,64.444,12.280
mcr,21,18.309,79.969,25.749
mcr,22,44.224,64.555,1.387
mcr,23,30.919,50.553,28.080
mcr,24,38.132,47.234,10.709
mcr,25,12.470,54.333,11.408
mcr,26,5.984,75.086,25.553
