target,grid_id,grid_x,grid_y,grid_z
met,1,14.238,4.459,48.280
met,2,-15.571,6.289,-1.113
met,3,11.428,-24.143,12.200
met,4,-5.883,27.481,31.928
met,5,23.339,8.361,12.662
met,6,-6.568,-3.367,26.669
met,7,6.032,-4.260,0.145
met,8,-9.746,6.106,46.044
met,9,3.081,15.255,16.162
met,10,21.042,17.795,34.369
met,11,5.073,-11.345,40.443
met,12,5.282,20.817,46.565
met,13,15.891,-3.517,24.976
met,14,-15.056,-10.461,6.694
met,15,-5.988,-22.030,16.231
met,16,-13.574,11.984,25.776
met,17,3.804,8.108,31.107
met,18,19.442,-11.286,4.529
met,19,7.773,-17.035,24.714
met,20,-19.566,-2.056,19.617
met,21,-0.054,-0.562,14.386
met,22,10.763,8.172,4.963
met,23,26.545,5.303,32.996
met,24,-6.745,-6.419,-4.334
met,25,-12.150,6.335,11.978
met,26,-0.958,7.253,-1.507
