target,grid_id,grid_x,grid_y,grid_z
mk14,1,-24.695,-4.114,7.485
mk14,2,40.138,16.944,18.932
mk14,3,15.504,-19.756,3.914
mk14,4,0.467,22.087,-1.040
mk14,5,4.331,-0.284,31.762
mk14,6,31.671,-10.440,25.159
mk14,7,-15.745,18.196,20.575
mk14,8,21.277,6.926,6.119
mk14,9,18.022,22.653,28.184
mk14,10,-18.218,-7.213,28.917
mk14,11,-2.985,-6.218,4.017
mk14,12,28.022,29.126,8.205
mk14,13,3.569,-15.057,19.685
mk14,14,-23.788,14.291,2.803
mk14,15,21.337,2.639,37.154
mk14,16,5.635,11.820,13.590
mk14,17,19.436,-20.730,19.909
mk14,18,37.045,15.251,3.024
mk14,19,-11.063,7.752,31.809
mk14,20,24.232,3.124,21.489
mk14,21,-11.075,6.297,11.566
mk14,22,-25.811,6.473,21.470
mk14,23,17.074,-12.559,32.401
mk14,24,-0.911,5.801,-4.399
mk14,25,9.017,-2.154,14.708
mk14,26,16.657,21.013,13.985
