target,grid_id,grid_x,grid_y,grid_z
mmp13,1,25.712,6.508,44.349
mmp13,2,-26.187,30.407,54.540
mmp13,3,26.205,-7.119,80.083
mmp13,4,-7.877,-1.318,61.431
mmp13,5,5.205,35.638,40.680
mmp13,6,30.239,26.147,76.371
mmp13,7,-4.770,7.141,31.302
mmp13,8,0.637,23.840,73.220
mmp13,9,44.211,-1.089,62.646
mmp13,10,17.277,25.173,57.735
mmp13,11,12.611,3.502,66.080
mmp13,12,38.177,20.572,55.910
mmp13,13,-10.664,22.312,43.861
mmp13,14,-23.340,10.087,55.534
mmp13,15,37.365,9.422,77.496
mmp13,16,9.236,13.946,43.930
mmp13,17,27.335,-7.279,60.897
mmp13,18,-11.638,32.832,63.483
mmp13,19,1.269,20.127,56.971
mmp13,20,26.675,11.712,64.554
mmp13,21,0.109,0.812,44.833
mmp13,22,-10.103,12.883,66.825
mmp13,23,0.205,22.448,33.707
mmp13,24,22.927,6.797,81.543
mmp13,25,-20.447,21.908,64.033
mmp13,26,36.891,7.375,52.296
