target,grid_id,grid_x,grid_y,grid_z
mp2k1,1,11.656,64.270,12.919
mp2k1,2,-34.438,68.710,10.512
mp2k1,3,-2.461,59.955,55.973
mp2k1,4,-10.159,84.993,30.934
mp2k1,5,-14.438,45.170,21.268
mp2k1,6,18.270,77.111,40.501
mp2k1,7,-12.053,68.933,-2.004
mp2k1,8,10.419,54.079,33.778
mp2k1,9,-0.413,82.417,11.950
mp2k1,10,-15.900,58.882,36.805
mp2k1,11,-7.986,50.215,2.990
mp2k1,12,-1.199,78.478,49.571
mp2k1,13,-11.886,68.771,19.962
mp2k1,14,-2.299,41.757,49.727
mp2k1,15,17.254,81.043,19.100
mp2k1,16,-30.107,56.183,23.600
mp2k1,17,4.407,72.869,30.891
mp2k1,18,7.790,65.632,44.744
mp2k1,19,1.226,53.742,17.460
mp2k1,20,-23.762,50.863,10.283
mp2k1,21,-2.416,45.583,33.981
mp2k1,22,3.026,67.826,2.138
mp2k1,23,-20.545,77.029,13.184
mp2k1,24,-7.799,67.297,45.217
mp2k1,25,6.216,52.193,48.119
mp2k1,26,-11.508,72.074,33.356
