target,grid_id,grid_x,grid_y,grid_z
nos1,1,-14.515,20.559,36.780
nos1,2,23.414,-10.862,76.853
nos1,3,15.703,-17.419,27.905
nos1,4,-0.439,34.347,79.690
nos1,5,-12.281,-18.198,64.239
nos1,6,11.638,13.344,52.579
nos1,7,-25.565,20.620,63.316
nos1,8,-0.987,1.508,81.320
nos1,9,-7.417,-7.903,38.588
nos1,10,20.530,17.443,77.162
nos1,11,11.378,-27.258,57.806
nos1,12,25.777,-7.574,52.731
nos1,13,-20.421,1.130,53.889
nos1,14,-4.390,26.325,55.130
nos1,15,-20.500,35.931,75.773
nos1,16,3.297,27.704,34.354
nos1,17,-5.063,-25.109,48.041
nos1,18,7.265,-12.166,67.382
nos1,19,8.859,-12.914,45.355
nos1,20,-12.598,8.885,68.514
nos1,21,27.707,4.140,67.686
nos1,22,-19.866,3.254,33.127
nos1,23,14.357,28.336,65.556
nos1,24,-7.430,7.274,45.466
nos1,25,2.838,3.673,61.256
nos1,26,-10.502,25.403,69.958
